REC,NAME,TARGET,AI,PP,EDGE
🟢 OVER (+0.19),Isaiah Hartenstein,PTS,10.69,10.5,0.18599700927734375
🟢 OVER (+0.08),Isaiah Hartenstein,AST,4.58,4.5,0.08202743530273438
🔴 UNDER (-0.97),Isaiah Hartenstein,PRA,24.53,25.5,-0.9737377166748047
🟢 OVER (+1.42),Isaiah Hartenstein,PR,21.92,20.5,1.4183979034423828
🔴 UNDER (-2.18),Isaiah Hartenstein,PA,13.32,15.5,-2.184843063354492
🔴 UNDER (-3.87),Isaiah Hartenstein,RA,10.63,14.5,-3.8668174743652344
🟢 OVER (+3.04),Luguentz Dort,PTS,13.54,10.5,3.037447929382324
🟢 OVER (+7.80),Luguentz Dort,PRA,24.3,16.5,7.7999725341796875
🟢 OVER (+4.72),Luguentz Dort,PR,19.22,14.5,4.716978073120117
🟢 OVER (+1.85),Luguentz Dort,PA,14.35,12.5,1.8537445068359375
🔴 UNDER (-15.45),Aaron Wiggins,PTS,2.05,17.5,-15.446866750717163
🔴 UNDER (-1.97),Aaron Wiggins,AST,1.53,3.5,-1.9744806289672852
🔴 UNDER (-17.30),Aaron Wiggins,PRA,8.2,25.5,-17.296183586120605
🔴 UNDER (-16.55),Aaron Wiggins,PR,4.95,21.5,-16.554829120635986
🔴 UNDER (-19.37),Aaron Wiggins,PA,2.13,21.5,-19.37173819541931
🔴 UNDER (-4.07),Aaron Wiggins,RA,3.43,7.5,-4.065530300140381
🔴 UNDER (-1.22),Chet Holmgren,PTS,17.78,19.0,-1.2248802185058594
🔴 UNDER (-2.85),Chet Holmgren,PRA,27.65,30.5,-2.8467445373535156
🔴 UNDER (-6.61),Chet Holmgren,PR,21.89,28.5,-6.607748031616211
🔴 UNDER (-2.57),Chet Holmgren,PA,18.43,21.0,-2.5681095123291016
🟢 OVER (+0.14),Chet Holmgren,SB,2.64,2.5,0.1439833641052246
🔴 UNDER (-1.41),Cason Wallace,PTS,11.09,12.5,-1.405379295349121
🔴 UNDER (-0.82),Cason Wallace,AST,2.68,3.5,-0.8233871459960938
🟢 OVER (+0.79),Cason Wallace,PRA,21.29,20.5,0.7850322723388672
🟢 OVER (+0.39),Cason Wallace,PR,16.89,16.5,0.3928108215332031
🔴 UNDER (-2.14),Cason Wallace,PA,14.36,16.5,-2.1418704986572266
🟢 OVER (+6.26),Jrue Holiday,PTS,21.26,15.0,6.259693145751953
🟢 OVER (+0.30),Jrue Holiday,AST,6.3,6.0,0.29895877838134766
🟢 OVER (+0.73),Jrue Holiday,TOV,3.23,2.5,0.728668212890625
🟢 OVER (+7.71),Jrue Holiday,PRA,33.21,25.5,7.712070465087891
🟢 OVER (+8.99),Jrue Holiday,PR,28.49,19.5,8.987722396850586
🟢 OVER (+9.78),Jrue Holiday,PA,31.28,21.5,9.778043746948242
🔴 UNDER (-1.38),Jrue Holiday,RA,9.12,10.5,-1.3832483291625977
🟢 OVER (+2.91),Myles Turner,PTS,14.41,11.5,2.908353805541992
🔴 UNDER (-0.37),Myles Turner,BLK,1.13,1.5,-0.36878859996795654
🟢 OVER (+4.94),Myles Turner,PRA,24.44,19.5,4.940530776977539
🟢 OVER (+5.60),Myles Turner,PR,23.1,17.5,5.601463317871094
🟢 OVER (+3.87),Myles Turner,PA,17.37,13.5,3.874776840209961
🟢 OVER (+3.53),Myles Turner,RA,11.03,7.5,3.5305185317993164
🟢 OVER (+11.11),Bobby Portis,PTS,22.61,11.5,11.110725402832031
🟢 OVER (+3.77),Bobby Portis,REB,9.27,5.5,3.7677249908447266
🟢 OVER (+14.10),Bobby Portis,PRA,32.6,18.5,14.103389739990234
🟢 OVER (+9.83),Bobby Portis,PR,27.33,17.5,9.83163833618164
🟢 OVER (+0.87),Bobby Portis,SB,1.37,0.5,0.8658884763717651
🟢 OVER (+0.67),Kyle Kuzma,PTS,14.17,13.5,0.6702604293823242
🟢 OVER (+2.58),Kyle Kuzma,AST,5.08,2.5,2.582770347595215
🟢 OVER (+0.83),Kyle Kuzma,PRA,22.33,21.5,0.8291530609130859
🟢 OVER (+1.77),Kyle Kuzma,PR,20.27,18.5,1.7699813842773438
🟢 OVER (+5.27),Kyle Kuzma,PA,20.77,15.5,5.2734375
🟢 OVER (+3.16),Kevin Porter Jr.,PTS,22.66,19.5,3.155488967895508
🟢 OVER (+1.77),Kevin Porter Jr.,REB,7.27,5.5,1.7699308395385742
🟢 OVER (+0.39),Kevin Porter Jr.,STL,1.89,1.5,0.38692235946655273
🟢 OVER (+0.18),Kevin Porter Jr.,TOV,3.68,3.5,0.17929887771606445
🟢 OVER (+2.55),Kevin Porter Jr.,PRA,35.05,32.5,2.552997589111328
🟢 OVER (+2.03),Kevin Porter Jr.,PR,27.53,25.5,2.029865264892578
🟢 OVER (+6.95),Kevin Porter Jr.,PA,33.45,26.5,6.954353332519531
🔴 UNDER (-0.62),Kevin Porter Jr.,RA,11.88,12.5,-0.6164655685424805
🔴 UNDER (-5.05),Cam Thomas,PTS,12.45,17.5,-5.052201271057129
🟢 OVER (+0.67),Cam Thomas,REB,3.17,2.5,0.6684801578521729
🔴 UNDER (-9.95),Cam Thomas,PRA,13.55,23.5,-9.949845314025879
🔴 UNDER (-4.92),Cam Thomas,PR,14.58,19.5,-4.922883987426758
🔴 UNDER (-9.09),Cam Thomas,PA,11.41,20.5,-9.087093353271484
🟢 OVER (+0.18),Cam Thomas,RA,5.68,5.5,0.18185138702392578
🟢 OVER (+1.40),Jericho Sims,PTS,6.9,5.5,1.3976402282714844
🔴 UNDER (-0.23),Jericho Sims,REB,7.27,7.5,-0.23349952697753906
🔴 UNDER (-0.13),Jericho Sims,PR,13.37,13.5,-0.13366317749023438
🔴 UNDER (-2.67),Jericho Sims,RA,6.83,9.5,-2.6700305938720703
🟢 OVER (+4.77),AJ Green,PTS,15.27,10.5,4.769313812255859
🟢 OVER (+10.66),AJ Green,PRA,26.16,15.5,10.657001495361328
🟢 OVER (+6.48),AJ Green,PR,19.98,13.5,6.478067398071289
🟢 OVER (+4.40),AJ Green,PA,16.9,12.5,4.400053024291992
🟢 OVER (+8.75),Jusuf Nurkić,PTS,17.25,8.5,8.751077651977539
🟢 OVER (+5.18),Jusuf Nurkić,PRA,27.68,22.5,5.184385299682617
🟢 OVER (+4.90),Jusuf Nurkić,PR,23.4,18.5,4.904010772705078
🟢 OVER (+8.40),Jusuf Nurkić,PA,21.9,13.5,8.399526596069336
🟢 OVER (+1.81),Jusuf Nurkić,RA,15.31,13.5,1.809906005859375
🟢 OVER (+4.46),Lauri Markkanen,PTS,23.96,19.5,4.456155776977539
🟢 OVER (+1.70),Lauri Markkanen,REB,7.2,5.5,1.695913314819336
🟢 OVER (+12.32),Lauri Markkanen,PRA,37.82,25.5,12.322479248046875
🟢 OVER (+6.08),Lauri Markkanen,PR,30.58,24.5,6.083063125610352
🟢 OVER (+8.80),Lauri Markkanen,PA,29.3,20.5,8.803239822387695
🟢 OVER (+3.41),Lauri Markkanen,RA,9.91,6.5,3.414381980895996
🟢 OVER (+2.20),Jaren Jackson Jr.,PTS,21.7,19.5,2.2027053833007812
🟢 OVER (+1.49),Jaren Jackson Jr.,AST,2.99,1.5,1.490025520324707
🟢 OVER (+0.31),Jaren Jackson Jr.,TOV,2.81,2.5,0.3138124942779541
🟢 OVER (+6.31),Jaren Jackson Jr.,PRA,31.81,25.5,6.310420989990234
🟢 OVER (+6.50),Jaren Jackson Jr.,PR,30.0,23.5,6.495548248291016
🟢 OVER (+4.43),Jaren Jackson Jr.,PA,25.93,21.5,4.4250640869140625
🟢 OVER (+9.37),Jaren Jackson Jr.,RA,14.87,5.5,9.373671531677246
🟢 OVER (+0.24),Jaren Jackson Jr.,SB,2.74,2.5,0.23905253410339355
🔴 UNDER (-3.67),Vince Williams Jr.,PTS,6.83,10.5,-3.6728439331054688
🔴 UNDER (-1.51),Vince Williams Jr.,REB,2.99,4.5,-1.5059566497802734
🔴 UNDER (-9.37),Vince Williams Jr.,PRA,11.13,20.5,-9.371158599853516
🔴 UNDER (-7.27),Vince Williams Jr.,PR,8.23,15.5,-7.267543792724609
🔴 UNDER (-8.87),Vince Williams Jr.,PA,7.63,16.5,-8.867096424102783
🔴 UNDER (-3.66),Brice Sensabaugh,PTS,14.84,18.5,-3.6571760177612305
🔴 UNDER (-3.08),Brice Sensabaugh,PRA,22.42,25.5,-3.0794239044189453
🔴 UNDER (-3.19),Brice Sensabaugh,PR,19.31,22.5,-3.189441680908203
🔴 UNDER (-2.63),Brice Sensabaugh,PA,17.87,20.5,-2.6337203979492188
🟢 OVER (+3.94),Cody Williams,PTS,12.44,8.5,3.941925048828125
🔴 UNDER (-0.33),Cody Williams,REB,3.17,3.5,-0.3276689052581787
🟢 OVER (+2.37),Cody Williams,PR,14.87,12.5,2.36922550201416
🟢 OVER (+5.21),Isaiah Collier,PTS,21.71,16.5,5.214582443237305
🟢 OVER (+2.20),Isaiah Collier,REB,6.2,4.0,2.2001280784606934
🔴 UNDER (-2.80),Isaiah Collier,AST,8.2,11.0,-2.8021888732910156
🔴 UNDER (-0.20),Isaiah Collier,STL,1.3,1.5,-0.20360243320465088
🟢 OVER (+0.59),Isaiah Collier,TOV,4.09,3.5,0.5879087448120117
🟢 OVER (+1.86),Isaiah Collier,PRA,33.36,31.5,1.8573799133300781
🟢 OVER (+9.11),Isaiah Collier,PR,29.61,20.5,9.10886001586914
🟢 OVER (+0.45),Isaiah Collier,PA,28.95,28.5,0.4466667175292969
🔴 UNDER (-0.68),Isaiah Collier,RA,13.82,14.5,-0.6819143295288086
🟢 OVER (+2.02),Kyle Filipowski,PTS,17.52,15.5,2.0151920318603516
🔴 UNDER (-0.38),Kyle Filipowski,REB,9.12,9.5,-0.3806495666503906
🔴 UNDER (-1.67),Kyle Filipowski,PRA,26.83,28.5,-1.6659469604492188
🔴 UNDER (-0.16),Kyle Filipowski,PR,25.34,25.5,-0.160125732421875
🟢 OVER (+3.71),Kyle Filipowski,PA,22.21,18.5,3.713918685913086
🔴 UNDER (-1.71),Kyle Filipowski,RA,10.79,12.5,-1.7051591873168945
🟢 OVER (+0.16),Ace Bailey,PTS,18.66,18.5,0.16293716430664062
🔴 UNDER (-4.97),Ace Bailey,PRA,21.53,26.5,-4.966970443725586
🔴 UNDER (-2.54),Ace Bailey,PR,20.96,23.5,-2.535737991333008
🟢 OVER (+1.69),Ace Bailey,PA,23.19,21.5,1.6906986236572266
🔴 UNDER (-0.35),Ace Bailey,RA,7.15,7.5,-0.3470730781555176
🟢 OVER (+6.26),Jrue Holiday,PTS,21.26,15.0,6.259693145751953
🟢 OVER (+0.30),Jrue Holiday,AST,6.3,6.0,0.29895877838134766
🟢 OVER (+0.73),Jrue Holiday,TOV,3.23,2.5,0.728668212890625
🟢 OVER (+7.71),Jrue Holiday,PRA,33.21,25.5,7.712070465087891
🟢 OVER (+8.99),Jrue Holiday,PR,28.49,19.5,8.987722396850586
🟢 OVER (+9.78),Jrue Holiday,PA,31.28,21.5,9.778043746948242
🔴 UNDER (-1.38),Jrue Holiday,RA,9.12,10.5,-1.3832483291625977
🟢 OVER (+3.78),Jerami Grant,PTS,23.28,19.5,3.7753772735595703
🟢 OVER (+0.90),Jerami Grant,REB,4.4,3.5,0.8982343673706055
🔴 UNDER (-0.09),Jerami Grant,BLK,0.41,0.5,-0.09301239252090454
